Abbreviation, Full
GK, Goalkeeper
SW, Sweeper
CB, Center Back
LCB, Left Center Back
RCB, Right Center Back
FB, Full Back
LB, Left Back
RB, Right Back
WB, Wing Back
RWB, Right Wing Back
LWB, Left Wing Back
DM, Defensive Midfielder
LDM, Left Defensive Midfielder
RDM, Right Defensive Midfielder
CM, Central Midfield
CAM, Central Attacking Midfielder
CDM, Central Defensive Midfielder
LCM, Left Center Midfield
RCM, Right Center Midfield
WM, Wing Midfielder
LM, Left Midfielder
RM, Right Midfielder
AM, Attacking Midfielder
LAM, Left Attacking Midfielder
RAM, Right Attacking Midfielder
WF, Wing Forward
LWF, Left Wing Forward
RWF, Right Wing Forward
LF, Left Forward
RF, Right Forward
CF, Center Forward
LW, Left Wing
RW, Right Wing
LS, Left Side
RS, Right Side
ST, Striker
